会话,批次,序号,触发键,目标键,设备,延迟ms,时间戳,F8次数,F8平均ms,F8最小ms,F8最大ms,F8标准差,F9次数,F9平均ms,F9最小ms,F9最大ms,F9标准差,全部平均ms,全部最小ms,全部最大ms,全部标准差
2026-06-18 04:50:09,1,1,F8,D,VID_1CA6_PID_300A,0.917,2026-06-18 04:50:11.656,10,1.147,0.783,1.939,0.346,0,,,,,1.147,0.783,1.939,0.346
2026-06-18 04:50:09,1,2,F8,D,VID_1CA6_PID_300A,0.783,2026-06-18 04:50:11.847,10,1.147,0.783,1.939,0.346,0,,,,,1.147,0.783,1.939,0.346
2026-06-18 04:50:09,1,3,F8,D,VID_1CA6_PID_300A,1.620,2026-06-18 04:50:12.009,10,1.147,0.783,1.939,0.346,0,,,,,1.147,0.783,1.939,0.346
2026-06-18 04:50:09,1,4,F8,D,VID_1CA6_PID_300A,1.016,2026-06-18 04:50:12.168,10,1.147,0.783,1.939,0.346,0,,,,,1.147,0.783,1.939,0.346
2026-06-18 04:50:09,1,5,F8,D,VID_1CA6_PID_300A,1.168,2026-06-18 04:50:12.322,10,1.147,0.783,1.939,0.346,0,,,,,1.147,0.783,1.939,0.346
2026-06-18 04:50:09,1,6,F8,D,VID_1CA6_PID_300A,1.939,2026-06-18 04:50:12.491,10,1.147,0.783,1.939,0.346,0,,,,,1.147,0.783,1.939,0.346
2026-06-18 04:50:09,1,7,F8,D,VID_1CA6_PID_300A,0.920,2026-06-18 04:50:12.637,10,1.147,0.783,1.939,0.346,0,,,,,1.147,0.783,1.939,0.346
2026-06-18 04:50:09,1,8,F8,D,VID_1CA6_PID_300A,1.218,2026-06-18 04:50:12.806,10,1.147,0.783,1.939,0.346,0,,,,,1.147,0.783,1.939,0.346
2026-06-18 04:50:09,1,9,F8,D,VID_1CA6_PID_300A,0.991,2026-06-18 04:50:12.982,10,1.147,0.783,1.939,0.346,0,,,,,1.147,0.783,1.939,0.346
2026-06-18 04:50:09,1,10,F8,D,VID_1CA6_PID_300A,0.899,2026-06-18 04:50:13.153,10,1.147,0.783,1.939,0.346,0,,,,,1.147,0.783,1.939,0.346
2026-06-18 04:50:09,1,统计,-,-,-,-,2026-06-18 04:50:13.155,10,1.147,0.783,1.939,0.346,0,,,,,1.147,0.783,1.939,0.346
2026-06-18 04:50:09,2,1,F8,D,VID_1CA6_PID_300A,2.153,2026-06-18 04:50:13.350,5,1.208,0.476,2.153,0.555,5,0.821,0.653,1.025,0.146,1.014,0.476,2.153,0.450
2026-06-18 04:50:09,2,2,F8,D,VID_1CA6_PID_300A,1.239,2026-06-18 04:50:13.630,5,1.208,0.476,2.153,0.555,5,0.821,0.653,1.025,0.146,1.014,0.476,2.153,0.450
2026-06-18 04:50:09,2,3,F8,D,VID_1CA6_PID_300A,0.885,2026-06-18 04:50:13.801,5,1.208,0.476,2.153,0.555,5,0.821,0.653,1.025,0.146,1.014,0.476,2.153,0.450
2026-06-18 04:50:09,2,4,F8,D,VID_1CA6_PID_300A,0.476,2026-06-18 04:50:13.990,5,1.208,0.476,2.153,0.555,5,0.821,0.653,1.025,0.146,1.014,0.476,2.153,0.450
2026-06-18 04:50:09,2,5,F8,D,VID_1CA6_PID_300A,1.287,2026-06-18 04:50:14.141,5,1.208,0.476,2.153,0.555,5,0.821,0.653,1.025,0.146,1.014,0.476,2.153,0.450
2026-06-18 04:50:09,2,6,F9,A,VID_1CA6_PID_300A,1.025,2026-06-18 04:50:28.181,5,1.208,0.476,2.153,0.555,5,0.821,0.653,1.025,0.146,1.014,0.476,2.153,0.450
2026-06-18 04:50:09,2,7,F9,A,VID_1CA6_PID_300A,0.765,2026-06-18 04:50:28.345,5,1.208,0.476,2.153,0.555,5,0.821,0.653,1.025,0.146,1.014,0.476,2.153,0.450
